,單位（12級）,單位序,序,文號,主旨,附件,附件名稱,不歸檔原因,承辦單位,承辦人,保存狀況,0
20,人事室第一組,,17,1079901739,檢送經本公司鈴印之產學合作協議書正本1份及合作合約書正本2份，請查照。,附件1,合作合約書,單位自存,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
21,人事室第一組,,18,1079901739,檢送經本公司鈴印之產學合作協議書正本1份及合作合約書正本2份，請查照。,附件2,合作協議書,單位自存,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
22,人事室第一組,,19,1079901691,檢送本公司與貴校簽訂產學合作契約書乙式3份，請查照。,附件1,產學合作契約書乙式,單位自存,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
23,人事室第一組,,20,1089900218,檢送本行與貴校、劉錦龍教授所簽訂教師兼職合作合約書正本二份及影本一份，請查照。,附件1,教師兼職合作合約書正本,單位抽存(存查單位：人事室),人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
24,人事室第一組,,21,1089900270,核定蘇寶惠l員派免如下：,附件1,蘇寶惠令,單位抽存(存查單位：蘇寶惠),人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
25,人事室第一組,,22,1081800176,檢附科技部補助延攬人才108年度撥款申請名冊，請惠予核章。,附件1,請款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
26,人事室第一組,,23,1081800225,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
27,人事室第一組,,24,1081800296,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款申請名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
28,人事室第一組,,25,1081800373,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款申請名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
29,人事室第一組,,26,1081800425,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款申請名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
30,人事室第一組,,27,1081800454,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
31,人事室第一組,,28,1081800506,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
32,人事室第一組,,29,1081800557,檢附科技部補助延攬人才108年度撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
33,人事室第一組,,30,1081800588,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
34,人事室第一組,,31,1081800608,檢附科技部補助延攬人才撥申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
35,人事室第一組,,32,1081800631,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
36,人事室第一組,,33,1081800688,檢附科技部補助延攬人才撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
37,人事室第一組,,34,1081800722,檢附科技部補助延攬之科技人才撥款申請名冊，請惠予核章。,附件1,撥款名冊,案件未辦結另案歸檔,人事室第一組,敖文珊,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
38,人事室第一組,,35,1071800055,為辦理本室影印機續約案，簽請核示。,附件1,合約書一式兩份,單位留存,人事室第一組,陳瑋靜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
39,人事室第一組,,36,1071800399,本校謹訂於107年6月11日（星期一）下午3時辦理貴單位秘書職缺面談，請貴單位主管（研發長，必要時得再指定1人）預留時間出席，並就符合資格人員之發展潛能及領導（專業）能力予以考評。,附件1,附件3陞遷考核評分標準表,單位自存,人事室第一組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
40,人事室第一組,,37,1071800454,有關本室約僱人員（職務代理人）遴選案，簽請核示。,附件1,職務代理人相關附件,單位自存,人事室第一組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
41,人事室第一組,,38,1071800565,本校107年1月至6月職務代理名冊網路報送,附件1,本校107年1月至6月職務代理名冊,單位自存,人事室第一組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
42,人事室第一組,,39,1071800636,檢陳本校107年1月至7月獎助生參加團體保險經費統整表、保險公司收據副本、預估8月至12月參加團體保險補助總額表及本校收據各1份，請鑒核。,附件1,經費統整表及團體保險補助總額表,單位自存,人事室第一組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
43,人事室第一組,,40,1071800717,檢陳本校人事室組員黃秋慈公務人員試用期滿成績送審書1式3份及相關表件各1份，用印後送教育部人事處核備。,附件1,公務人員試用期滿成績送審書、試用人員成績考核表等,單位抽存(存查單位：人事室),人事室第一組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
44,人事室第一組,,41,1071800766,檢陳本校編制內職員職務說明書普查表，簽請核示。,附件1,各單位職務普查表,單位抽存(存查單位：人事室),人事室第一組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
45,人事室第一組,,42,1080001601,為辦理108年度薦任公務人員晉升簡任官等訓練，請於本（108）年3月8日(星期五)前依說明將符合受訓資格人員名冊、評分資料試算表(含職務年資明細表)、資格確認暨同意書、參訓資格檢核表及相關資料，依式彙整並按積分高低順序造冊寄送本部(免備文)，電子檔並請以電子郵件傳送，請查照惠辦。,附件1,附件3評分資料試算表,單位抽存(存查單位：單位自存),人事室第一組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
46,人事室第一組,,43,1081800181,本校108年度契僱人員晉升面談討論會議訂於本(108)年3月12日(星期二)中午12時召開，奉核可後會議資料於會前電傳委員參閱，並於會上另發紙本，請核示。,附件1,議程,單位抽存(存查單位：單位自存),人事室第一組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
47,人事室第一組,,44,1060018004,檢送「因應專科以上學校學術倫理案件處理原則第6點相關措施」之調查表1份，請於107年2月15日前填妥用印後，以電子公文併復調查表之pdf檔（用印版）及word檔，請查照。,附件1,教育部106/5/31函、本校106/5/25決議,單位自存,人事室第一組,劉卉蓁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
48,人事室第一組,,45,1079900382,說明檢還貴校106年7月31日中大人字第1061810364號函送之原卷1宗，請查收。,附件1,原卷1,單位自存,人事室第一組,劉卉蓁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
49,人事室第一組,,46,1089902109,密不錄由,附件1,原處分卷,單位抽存(存查單位：人事室),人事室第一組,劉卉蓁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
50,,,,,,,,,,,, 
51,,,,,,,,,,,, 
52,,,,,,,,,,,, 
53,,,,,,,,,,,, 
54,,,,,,,,,,,, 
55,,,,,,,,,,,, 
56,人事室第二組,,47,1079902935,檢奉本院「2019年教育訓練計畫總覽」，敬請卓參，並歡迎遴薦所屬同仁，踴躍報名參加各項訓練課程。,附件1,2019年教育訓練計畫總覽,單位抽存(存查單位：人事室抽存),人事室第二組,李文娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
57,人事室第二組,,48,1081800118,"檢送本校李勝偉教授第57屆補助科學與技術人員國外短期研究合約、對方邀請函影本、本校收據(面額新台幣503,520元)各一份，請惠予辦理撥款事宜，請查照。",附件1,科技部第57屆補助短期研究合約,單位抽存(存查單位：人事室留存合約書),人事室第二組,李文娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
58,人事室第二組,,49,1081800777,有關本室辦理理財資訊課程，擬請同意借用107電影院免場租相關事宜一案，簽請核示。,附件1,107電影院場地租用申請表,單位抽存(存查單位：藝文中心),人事室第二組,李文娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
59,人事室第二組,,50,1081800882,有關本室辦理教育訓練「當責」課程，擬請同意借用107電影院免場租相關事宜一案，簽請核示。,附件1,107電影院場地租用申請表,單位抽存(存查單位：藝文中心),人事室第二組,李文娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
60,人事室第二組,,51,1071800272,有關本校專任助理徐瑞華之勞工保險，請貴局惠允同意註銷徐員107年3月31日勞工保險退保紀錄，詳如說明，請查照。,附件1,10703-10704差勤紀錄-徐瑞華,單位自存,人事室第二組,林宜慧,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
61,人事室第二組,,52,1071800272,有關本校專任助理徐瑞華之勞工保險，請貴局惠允同意註銷徐員107年3月31日勞工保險退保紀錄，詳如說明，請查照。,附件2,10703-10704薪資證明-徐瑞華,單位自存,人事室第二組,林宜慧,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
62,人事室第二組,,53,1071800272,有關本校專任助理徐瑞華之勞工保險，請貴局惠允同意註銷徐員107年3月31日勞工保險退保紀錄，詳如說明，請查照。,附件3,中央大學在職證明書-徐瑞華,單位自存,人事室第二組,林宜慧,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
63,人事室第二組,,54,1089903536,檢送行政院人事行政總處編印之「通案性費用與年終工作獎金實務作業參考手冊」，請查照。,附件1,通案性費用與年終工作獎金實務作業參考手冊,單位抽存(存查單位：通案性費用與年終工作獎金實務作業參考手冊),人事室第二組,徐欣如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
64,人事室第二組,,55,1079900208,檢奉本院「2018年教育訓練計畫總覽」，敬請  卓參，並歡迎遴薦所屬同仁，踴躍報名參加各項訓練課程。,附件1,2018年教育訓練計畫總覽,附件本室另抽存參辦,人事室第二組,陳曉涵,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
65,人事室第二組,,56,1079900255,檢送行政院人事行政總處編印「公務機關推動員工協助方案2.0參考手冊」如附件配賦表，請參用。,附件1,參考手冊,本室另抽存參考,人事室第二組,陳曉涵,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
66,人事室第二組,,57,1079900268,為促進身心障礙者就業，請於辦理尾牙及春酒等各項活動，優先邀請身心障礙街頭藝人參與演出，請查照。,附件1,宣導手冊,本室另抽存參考,人事室第二組,陳曉涵,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
67,人事室第二組,,58,1079902690,檢還貴機關（機關代碼：121238）移送本分著強制執行案件，隨案檢附執行必要費賸餘郵票345元，請查收。,附件1,郵票,單位抽存(存查單位：人事室),人事室第二組,黃秋慈,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
68,人事室第二組,,59,1081800121,有關辦理主計室「國立大學校院校務基金103-107年度決算餘絀、政府補助及自籌收支餘絀調查表」之表12查填相關事宜，簽請核示。,附件1,系所回復調查表,單位抽存(存查單位：人事室),人事室第二組,黃秋慈,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
69,人事室第二組,,60,1081800195,"檢陳本校代發退休公教人員沈孝基等330人，領取108年1月份至3月份月退休金、遺屬年金、月撫卹金及補發退休教授黃為德月退休金之發放清冊及請款領據(計新台幣3,677萬9,353元)等資料各1份，請鑒核撥款歸墊。",附件1,發放清冊及收據等資料,單位抽存(存查單位：人事室),人事室第二組,黃秋慈,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
70,人事室第二組,,61,1081800457,"檢陳本校代發退休公教人員沈孝基等330人，領取108年1月份至3月份月退休金、遺屬年金、月撫卹金及補發退休教授黃為德月退休金之發放清冊及請款領據(計新台幣3,677萬9,353元)等資料各1份，請鑒核撥款歸墊。",附件1,發放清冊及收據等相關資料,單位抽存(存查單位：人事室),人事室第二組,黃秋慈,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
71,人事室第二組,,62,1081800537,"檢陳本校代發退休公教人員沈孝基等342人，領取108年4月份至6月份月退休金、遺屬年金及月撫卹金之發放清冊及請款領據(計新台幣3,857萬4,591元)等資料各1份，請鑒核撥款歸墊。",附件1,發放清冊,單位抽存(存查單位：人事室),人事室第二組,黃秋慈,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
72,人事室第二組,,63,1071800033,檢陳本校106年獎助生參加團保保險人數清冊明細及經費統整表各1式3份；保險公司收據影本、保險公司保單、保險明細表影本各1份及支票1紙，請鑒核。,附件1,如主旨,單位自存,人事室第二組,楊麗菁,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
73,人事室第二組,,64,1071800313,有關職鄭玉玲擬請辭職乙案，謹簽請鑒核。,附件1,請假扣薪紀錄,單位自存,人事室第二組,鄭玉玲,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
74,,,,,,,,,,,, 
75,,,,,,,,,,,, 
76,,,,,,,,,,,, 
77,,,,,,,,,,,, 
78,,,,,,,,,,,, 
79,,,,,,,,,,,, 
80,工學院,,65,1073401504,謹請鈞長同意更正107年10月於「教育部大學校院校務資料庫」所列國際永續發展碩士在職專班(以下簡稱國際專班)之主管為工學院田永銘院長乙事，陳請鑒核。,附件1,附件2－合作協議書,單位抽存(存查單位：工學院國際學程),工學院,田永銘,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
81,工學院,,66,1073401504,謹請鈞長同意更正107年10月於「教育部大學校院校務資料庫」所列國際永續發展碩士在職專班(以下簡稱國際專班)之主管為工學院田永銘院長乙事，陳請鑒核。,附件2,附件3－經費分配表（第15屆),單位抽存(存查單位：工學院國際學程),工學院,田永銘,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
82,工學院,,67,1073401504,謹請鈞長同意更正107年10月於「教育部大學校院校務資料庫」所列國際永續發展碩士在職專班(以下簡稱國際專班)之主管為工學院田永銘院長乙事，陳請鑒核。,附件3,附件4－經費分配表(第14屆),單位抽存(存查單位：工學院國際學程),工學院,田永銘,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
83,工學院,,68,1073400880,申請「國立中央大學工學院、理學院培育英語溝通能力及增進國際移動力計畫備忘錄」之附約用印。,附件1,培育英語溝通能力及增進國際移動力計畫備忘錄之附約,單位自存,工學院,黃英霈,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
84,工學院,,69,1073401612,謹推薦機械系蕭述三教授、機械系林志光教授等二位為工學院新任院長候選人，陳請鈞長擇聘。,附件1,作業要點,單位抽存(存查單位：工學院),工學院,黃惠美,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
85,工學院,,70,1073401612,謹推薦機械系蕭述三教授、機械系林志光教授等二位為工學院新任院長候選人，陳請鈞長擇聘。,附件2,候選人之履歷及治院理念(蕭教授&林教授),單位抽存(存查單位：工學院),工學院,黃惠美,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
86,工學院,,71,1073401612,謹推薦機械系蕭述三教授、機械系林志光教授等二位為工學院新任院長候選人，陳請鈞長擇聘。,附件3,開票紀錄,單位抽存(存查單位：工學院),工學院,黃惠美,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
87,工學院,,72,1073401612,謹推薦機械系蕭述三教授、機械系林志光教授等二位為工學院新任院長候選人，陳請鈞長擇聘。,附件4,會議紀錄,單位抽存(存查單位：工學院),工學院,黃惠美,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
88,工學院土木系,,73,1073401378,擬請同意學生王暐翔（學號104302043）於106學年度第2學期申請境外選課學分重新認定並計入畢業學分。,附件1,境外校際選課報告單,單位抽存(存查單位：註冊組),工學院土木系,王美萍,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
89,工學院土木系,,74,1083401558,檢送「108年度桃園市道路分及評估計畫」期末報告書一式10本及檢測資料庫光碟一式兩份。,附件1,報告書及光碟,單位抽存(存查單位：土木系),工學院土木系,何旻哲,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
90,工學院土木系,,75,1063400729,檢送貴單位委託本校土木系洪汶宜助理教授主持之「重力、地震力與降雨引致的邊坡破壞行為模擬研究(II)」計畫編號：106保發-11.1-保-01-06-001(26)之會計報告、成果報告，請惠予查收。,附件1,成果報告書,單位自存,工學院土木系,洪汶宜,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
