,Unnamed: 0,單位（12級）,一二級單位,單位序,原序,公文文號,登記單位,來文者/發文者,來文字號,來文日期,主旨,單位（僅一級）,單位（12級）.1,（承辦人）,承辦人員,發文時間,發文字號,年度號,分類號,案次號,卷次號,目次號,保存年限,媒體形式,數量（頁）,五層檔號,是否掃描,文件產生日期,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,0
10,10,人事室,人事室,11.0,11.0,850014540.0,總收文,國立成功大學,(85)成大學字第07403號,085/12/06,檢送中華民國大專院校八十五學年度教職員工網球錦標賽競賽規程及報名表各乙份，函請踴躍報名參加，共襄盛舉，請查照。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,85.0,204.0,1.0,5.0,23.0,5.0,紙本,9.0,0085/204/01/5/23,（已掃描）,085/12/06,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
11,11,人事室,人事室,12.0,12.0,850014607.0,總收文,國立臺東師範學院,85東師院體二字第3532號,085/12/11,檢送中華民國大專院校八十五學年度教職員工桌球錦標賽競賽規程，請查照。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,85.0,204.0,1.0,5.0,24.0,5.0,紙本,9.0,0085/204/01/5/24,（已掃描）,085/12/11,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
12,12,人事室,人事室,13.0,27.0,850011917.0,總收文,桃園縣警察局,桃警人字第73196號,085/06/10,關於駐衛警察人員可否比照公教人員發給退職補償金乙案，復如說明(二)，請查照。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,85.0,205.0,1.0,7.0,12.0,10.0,紙本,2.0,0085/205/01/7/12,（已掃描）,085/06/10,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
13,13,人事室,人事室,14.0,33.0,850010004.0,總收文,國立臺北護理學院,八五北護體字第0001號,085/01/03,檢送中華民國大專院校八十四學年度教職員工桌球錦標賽競賽規程及報名表各乙份，如附件，請查照。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,85.0,207.0,1.0,2.0,7.0,10.0,紙本,8.0,0085/207/01/2/7,（已掃描）,085/01/03,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
14,14,人事室,人事室,15.0,34.0,850013138.0,總收文,中華民國大專院校體育總會,(85)大體總國字第1028號,085/08/31,貴屬黃教授文忠代表本會參加一九九六年世界大學跆拳道錦標賽，擔任領隊乙職，敬請核發出國同意書，並於出國參賽期間惠予公假，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,207.0,1.0,2.0,17.0,10.0,紙本,5.0,0085/207/01/2/17,（已掃描）,085/08/31,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
15,15,人事室,人事室,16.0,35.0,850002869.0,人事室,國立中央大學,,         ,同意本校副教授黃文忠先生代表貴會參加一九九六年世界大學跆拳道錦標賽，擔任領隊乙職，並於出國期間自本(八十五)年九月廿一日起至三十日止計十天給予公假，復請查照。,人事室,人事室,(張惠珍),張惠珍,085/09/19,(85)中大人字第2859號                          ,85.0,207.0,1.0,2.0,18.0,10.0,紙本,1.0,0085/207/01/2/18,（已掃描）,         085/09/19,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
16,16,人事室,人事室,17.0,36.0,850013272.0,總收文,中華民國大專院校體育總會,()大體總行字第1058號,085/09/10,本會已於八十五年八月廿四日假國立台北技術學院召開第三屆第一次會員代表大會暨第三屆第一次理監事會，並依法完成選舉事宜，由輔仁大學教授陳太正連任第三屆會長，並經理事會全體通過同意聘任中央大學教授黃文忠為秘書長，請查照。,人事室,人事室,(宋宏日),宋宏日,,                                        ,85.0,207.0,1.0,2.0,19.0,10.0,紙本,9.0,0085/207/01/2/19,（已掃描）,085/09/10,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
17,17,人事室,人事室,18.0,37.0,850003860.0,人事室,國立中央大學,,         ,本校同意黃文忠副教授代表貴會出席亞洲大學體育總會會員大會，並於出國期間給予公假，請查照。,人事室,人事室,(張惠珍),張惠珍,085/12/02,(85)中大人字第3797號                          ,85.0,207.0,1.0,2.0,24.0,10.0,紙本,1.0,0085/207/01/2/24,（已掃描）,         085/12/02,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
18,18,人事室,人事室,19.0,38.0,860000322.0,人事室,國立中央大學,,         ,本校同意體育室講師梁衍明、李福恩二位先生代表貴會參加一九九七年義大利西西里世界大學運動會長期培訓隊寒假移地訓練，其期間給予公假，請查照。,人事室,人事室,(張惠珍),張惠珍,086/01/28,(86)中大人字第0323號                          ,85.0,207.0,1.0,2.0,28.0,10.0,紙本,1.0,0085/207/01/2/28,（已掃描）,         086/01/28,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
19,19,人事室,人事室,20.0,39.0,850011230.0,總收文,私立和春工商專科學校,(85)和春訓字第051號,085/04/18,檢送中華民國大專院校八十四學年度教職員工保齡球錦標賽規程，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,207.0,1.0,3.0,14.0,10.0,紙本,8.0,0085/207/01/3/14,（已掃描）,085/04/18,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
20,20,人事室,人事室,21.0,40.0,850011150.0,總收文,國立台灣師範大學,85師大訓體字第1670號,085/04/12,隨函檢送八十四學年度北區大專院校教職員工高爾夫錦標賽競賽辦法及報名表各乙份，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,207.0,1.0,4.0,26.0,10.0,紙本,5.0,0085/207/01/4/26,（已掃描）,085/04/12,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
21,21,人事室,人事室,22.0,41.0,850014743.0,總收文,桃園縣體育會慢速壘球委員會,八十五年桃慢壘民字第036號,085/12/19,本會辦理八十六年度台灣省北區『社教盃』慢速壘球錦標賽，請貴單位所屬慢速壘球社團踴躍組隊參加，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,207.0,1.0,5.0,15.0,10.0,紙本,5.0,0085/207/01/5/15,（已掃描）,085/12/19,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
22,22,人事室,人事室,23.0,42.0,850012878.0,總收文,中原大學,(85)原體字第1659號,085/08/12,八十五學年度桃園縣四中教職員高爾夫聯誼賽訂於九月十一日假桃園藍鷹高爾夫球場舉行，敬請派員踴躍參加，共襄盛舉。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,207.0,1.0,6.0,9.0,10.0,紙本,3.0,0085/207/01/6/9,（已掃描）,085/08/12,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
23,23,人事室,人事室,24.0,43.0,850014604.0,總收文,私立元培醫事技術專科學校,元醫訓字第5551號,085/12/10,檢送「中華民國大專院校八十五學年度教職員工高爾夫錦標賽競賽規程」乙份，敬請踴躍報名參加。,人事室,人事室,(張惠珍),張惠珍,,                                        ,85.0,207.0,1.0,6.0,10.0,10.0,紙本,8.0,0085/207/01/6/10,（已掃描）,085/12/10,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
24,24,人事室,人事室,25.0,44.0,850014647.0,總收文,私立明新工商專科學校,(85)明志(訓)字第601號,085/12/13,檢送中華民國大專院校八十五學年度教職員工保齡球錦標賽競賽規程，敬請踴躍組隊參加，共襄盛舉。,人事室,人事室,(張惠玲),張惠玲,,                                        ,85.0,207.0,1.0,6.0,23.0,10.0,紙本,11.0,0085/207/01/6/23,（已掃描）,085/12/13,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
25,25,人事室,人事室,26.0,13.0,860010713.0,總收文,教育部,台(86)人(二)字第86017455號,086/02/26,檢送「生活樂章心靈之旅－公務人力昇華系列活動」八十六年度第二梯次活動計畫一份，請查照並轉知所屬人員踴躍參加。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,5.0,5.0,5.0,紙本,5.0,0086/204/01/5/5,（已掃描）,086/02/26,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
26,26,人事室,人事室,27.0,14.0,860013835.0,總收文,教育部,台(86)人(二)字第86109245號,086/09/20,檢送「生活樂章心靈之旅－公務人力昇華系列」活動計畫一份，請查照並轉知所屬人員踴躍參加。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,5.0,6.0,5.0,紙本,6.0,0086/204/01/5/6,（已掃描）,086/09/20,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
27,27,人事室,人事室,28.0,15.0,860014735.0,總收文,教育部,台(86)人(二)字第86136920號,086/11/24,行政院人事行政局為配合倡導「心靈改革」活動，推動公務人員自主性健康管理，並希望以漸進方式建立公務人員對維護身心健康之積極信念，將規劃編印「公務人員健康管理手冊」，並以徵文方式收錄相關健康資訊。檢附「『公務人員健康管理手冊』徵文啟事」一份，請查照並鼓勵所屬?,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,5.0,7.0,5.0,紙本,3.0,0086/204/01/5/7,（已掃描）,086/11/24,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
28,28,人事室,人事室,29.0,16.0,860011021.0,總收文,桃園縣政府,八六府教社字第046898號,086/03/21,檢送「台灣省教師鐸聲獎第十五屆歌唱大會實施計畫」乙份，請鼓勵貴校教職員踴躍參加。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,5.0,9.0,5.0,紙本,8.0,0086/204/01/5/9,（已掃描）,086/03/21,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
29,29,人事室,人事室,30.0,17.0,860010468.0,總收文,桃園縣政府,八六府教社字第024715號,086/02/04,檢送本縣八十五學年度「中國傳統技藝研習班」實施要點乙份，請鼓勵貴屬踴躍報名參加，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,5.0,10.0,5.0,紙本,3.0,0086/204/01/5/10,（已掃描）,086/02/04,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
30,30,人事室,人事室,31.0,18.0,850014750.0,總收文,臺灣省立彰化社會教育館,八五彰社研字第2775號,085/12/20,本館為加強文化建設，倡導文藝創作，特舉辦「台灣區八十六年文藝節徵文」，敬請轉知所屬，鼓勵員生，民眾踴躍參加，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,5.0,38.0,5.0,紙本,4.0,0086/204/01/5/38,（已掃描）,085/12/20,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
31,31,人事室,人事室,32.0,19.0,860011594.0,總收文,國立中山大學,(85)中體字第1387號,086/05/02,檢送大專院校八十五學年度教職員工羽球錦標賽競賽規程暨報名表格式各乙份，請查收並請踴躍報名參賽。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,5.0,39.0,5.0,紙本,12.0,0086/204/01/5/39,（已掃描）,086/05/02,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
32,32,人事室,人事室,33.0,20.0,860012928.0,總收文,教育部,台(86)人(二)字第86086277號,086/07/22,檢送本部參加行政院人事行政局三十週年局慶杯桌、羽、網球比賽隊職員名冊一份，請查照並轉知準時參加比賽。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,86.0,204.0,1.0,6.0,1.0,5.0,紙本,7.0,0086/204/01/6/1,（已掃描）,086/07/22,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
33,33,人事室,人事室,34.0,21.0,860013680.0,總收文,教育部,台(86)人(二)字第86097417號,086/09/09,檢送「行政院人事行政局推行公務人員『好讀書、讀好書』徵文比賽活動要點」一份，請查照並轉知。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,6.0,40.0,5.0,紙本,4.0,0086/204/01/6/40,（已掃描）,086/09/09,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
34,34,人事室,人事室,35.0,22.0,860003179.0,人事室,國立中央大學,,         ,教育部函轉有關行政院人事行政局推行公務人員「好讀書、讀好書」徵文比賽活動一份，請同仁踴躍參加並於民國八十七年一月十五日前送人事室以便彙整報部，請查照轉知。,人事室,人事室,(張惠珍),張惠珍,086/10/01,(86)中大人字第3169號                          ,86.0,204.0,1.0,6.0,41.0,5.0,紙本,1.0,0086/204/01/6/41,（已掃描）,         086/10/01,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
35,35,人事室,人事室,36.0,23.0,860014814.0,總收文,教育部,台(86)人(二)字第86139873號,086/11/28,第二屆「教育部獎勵教育行政研究發展」作品收件日期，因事實需要延至明(八十七)年一月十五日截止，請查照轉知所屬同仁踴躍參加。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,6.0,42.0,5.0,紙本,2.0,0086/204/01/6/42,（已掃描）,086/11/28,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
36,36,人事室,人事室,37.0,24.0,860015018.0,總收文,教育部,台(86)人(二)字第86145263號,086/12/15,一、本部八十六年九月九日台(85)人(二)字第八六○九七四一七號函送「行政院人事行政局推行公務人員『好讀書、讀好書』徵文活動比賽活動要點」一份，諒達。二、依上開徵文要點規定，本項徵文活動訂於八十七年一月三十一日截稿，請再轉知所屬同仁把握時效，將徵文作品送行政院?,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,204.0,1.0,6.0,43.0,5.0,紙本,2.0,0086/204/01/6/43,（已掃描）,086/12/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
37,37,人事室,人事室,38.0,28.0,860012441.0,總收文,教育部,台(86)人(二)字第86070132號,086/06/27,檢送「八十六年度後備軍人緩召處理指導大綱」乙種，如附件，請查照。,人事室,人事室,(呂秀娥),呂秀娥,,                                        ,86.0,205.0,1.0,7.0,26.0,10.0,紙本,8.0,0086/205/01/7/26,（已掃描）,086/06/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
38,38,人事室,人事室,39.0,29.0,860012679.0,總收文,教育部,台(86)人(二)字第86077568號,086/07/09,檢送「八十八年度後備軍人緩召處理實施計畫」乙種如附件，請查照辦理。,人事室,人事室,(呂秀娥),呂秀娥,,                                        ,86.0,205.0,1.0,7.0,29.0,10.0,紙本,3.0,0086/205/01/7/29,（已掃描）,086/07/09,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
39,39,人事室,人事室,40.0,30.0,860013103.0,總收文,教育部,台(86)人(二)字第86088066號,086/07/31,檢送八十八年度後備軍人申請兵役法第四十二條第一項第三、五款緩召處理作業補充規定如附件，請查照辦理。,人事室,人事室,(宋宏日代),宋宏日代,,                                        ,86.0,205.0,1.0,7.0,30.0,10.0,紙本,5.0,0086/205/01/7/30,（已掃描）,086/07/31,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
40,40,人事室,人事室,41.0,31.0,860002703.0,人事室,國立中央大學,,         ,函轉八十八年度後備軍人申請兵役法第四十二條第一項第三、五款緩召處理作業補充規定，如附件，請查照。,人事室,人事室,(宋宏日),宋宏日,086/08/08,(86)中大人字第2695號                          ,86.0,205.0,1.0,7.0,31.0,10.0,紙本,1.0,0086/205/01/7/31,（已掃描）,         086/08/08,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
41,41,人事室,人事室,42.0,45.0,860001990.0,人事室,國立中央大學,,         ,本校同意體育室梁衍明講師代表貴會參加一九九七年義大利西西里世界大學運動會游泳培訓隊暑期移地訓練，其出國期間給予公假，請查照。,人事室,人事室,(張惠珍),張惠珍,086/06/17,(86)中大人字第2002號                          ,86.0,207.0,1.0,2.0,11.0,10.0,紙本,1.0,0086/207/01/2/11,（已掃描）,         086/06/17,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
42,42,人事室,人事室,43.0,46.0,860001991.0,人事室,國立中央大學,,         ,本校同意體育室李福恩講師代表貴會參加一九九七年義大利西西里世界大學運動會田徑培訓隊暑期移地訓練，其出國期間給予公假，請查照。,人事室,人事室,(張惠珍),張惠珍,086/06/17,(86)中大人字第2003號                          ,86.0,207.0,1.0,2.0,12.0,10.0,紙本,1.0,0086/207/01/2/12,（已掃描）,         086/06/17,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
43,43,人事室,人事室,44.0,47.0,860011480.0,總收文,教育部,台(86)體(一)字第86041445號,086/04/25,請貴校、轉知貴屬學校惠予同意參加本部委請國立台灣師範大學辦理「改進特殊體育教學實施計畫」之八十五學年度「各類特殊體育教師研習會」相關人員除給予公假參加外並准予報支旅費，請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,207.0,1.0,4.0,7.0,10.0,紙本,2.0,0086/207/01/4/7,（已掃描）,086/04/25,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
44,44,人事室,人事室,45.0,48.0,860010540.0,總收文,教育部,台(86)人(三)字第86010014號,086/02/13,關於各機關學校員工（生）消費合作社所販賣蛋糕、麵包、涼麵等食品，應作好食品衛生安全檢驗，以維護消費者生命安全乙案，請查照轉知。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,86.0,207.0,1.0,4.0,15.0,10.0,紙本,2.0,0086/207/01/4/15,（已掃描）,086/02/13,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
45,45,人事室,人事室,46.0,49.0,860011786.0,總收文,私立淡水工商管理學院,(86)淡水學院體字第207號,086/05/15,檢送中華民國大專院校八十五學年度教職員工籃球錦標賽競賽規程暨報名表乙份（如附件）敬請踴躍報名參加，共襄盛舉。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,86.0,207.0,1.0,4.0,18.0,10.0,紙本,8.0,0086/207/01/4/18,（已掃描）,086/05/15,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
46,46,人事室,人事室,47.0,50.0,860011818.0,總收文,私立大漢工商專科學校,(86)漢照訓字第208號,086/05/17,檢送中華民國大專院校教職員生八十六年大漢盃高爾夫球聯誼賽實施要點及報名表各乙份，敬請踴躍組隊共襄盛舉。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,207.0,1.0,5.0,1.0,10.0,紙本,4.0,0086/207/01/5/1,（已掃描）,086/05/17,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
47,47,人事室,人事室,48.0,51.0,860011118.0,總收文,國立東華大學,(86)東共體字第0875號,086/03/27,檢送本校承辦中華民國大專院校八十五學年度教職員工慢速壘球錦標賽競賽規程及報名表各乙份（如附件），敬請踴躍報名參加共襄盛舉，請查照。,人事室,人事室,(宋炳榮),宋炳榮,,                                        ,86.0,207.0,1.0,5.0,10.0,10.0,紙本,6.0,0086/207/01/5/10,（已掃描）,086/03/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
48,48,人事室,人事室,49.0,52.0,860014777.0,總收文,中華民國大專院校體育總會高爾夫委員會,(86)大體高委字第004號,086/11/26,檢送中華民國大專院校八十六學年度第四屆教職員工高爾夫錦標賽競賽規程，請踴躍組隊參加。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,207.0,1.0,5.0,11.0,10.0,紙本,10.0,0086/207/01/5/11,（已掃描）,086/11/26,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
49,49,人事室,人事室,50.0,53.0,860014810.0,總收文,私立明新技術學院,(86)明世(訓)字第638號,086/11/28,檢送中華民國大專院校八十六學年度教職員工保齡球錦標賽競賽規程，敬請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,207.0,1.0,5.0,12.0,10.0,紙本,8.0,0086/207/01/5/12,（已掃描）,086/11/28,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
50,50,人事室,人事室,51.0,54.0,860014963.0,總收文,國立體育學院,(86)體院育字第4246號,086/12/09,檢送中華民國大專院校八十六學年度教職員工網球錦標賽競賽規程及報名表各乙份（如附件），請查照。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,207.0,1.0,5.0,13.0,10.0,紙本,2.0,0086/207/01/5/13,（已掃描）,086/12/09,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
51,51,人事室,人事室,52.0,55.0,860010225.0,總收文,私立明新工商專科學校,(86)明志(訓)字第029號,086/01/18,辦理參加八十五學年度大專院校教職員工保齡球錦標賽，各校代表隊職員平安保險案。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,207.0,1.0,5.0,19.0,10.0,紙本,2.0,0086/207/01/5/19,（已掃描）,086/01/18,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
52,52,人事室,人事室,53.0,56.0,860012116.0,總收文,中華民國水上救生協會,(86)水秘字第10126號,086/06/05,檢送「八十六年度各級學校教師暨公共海水浴場游泳池救生員水上安全與救生訓練計畫」乙份，敬請踴躍報名。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,207.0,1.0,5.0,24.0,10.0,紙本,5.0,0086/207/01/5/24,（已掃描）,086/06/05,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
53,53,人事室,人事室,54.0,57.0,860013935.0,總收文,桃園縣體育會慢速壘球委員會,八十六年桃慢壘良字第003號,086/09/27,本會訂於八十六年十月三十一日至十一月二日，辦理八十七年度秋季聯賽暨第七屆「主委盃』慢速壘球錦標賽，敬請貴單位踴躍組隊參加，共襄盛舉。,人事室,人事室,(張惠珍),張惠珍,,                                        ,86.0,207.0,1.0,7.0,22.0,10.0,紙本,6.0,0086/207/01/7/22,（已掃描）,086/09/27,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
54,54,人事室,人事室,55.0,25.0,870000905.0,人事室,國立中央大學,,         ,本校教職員為應教學研習需要，定於本(87)年5月中旬組隊前往貴所福山植物園參訪，茲檢附隊職員名冊乙份，請惠予許可入園並核發許可證。,人事室,人事室,(宋炳榮),宋炳榮,087/03/26,(87)中大人字第0900號                          ,87.0,204.0,1.0,2.0,25.0,5.0,紙本,1.0,0087/204/01/2/25,（已掃描）,         087/03/26,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
55,55,人事室,人事室,56.0,26.0,870000906.0,人事室,國立中央大學,,         ,本校教職員為應教學研習需要，定於本(87)年5月中旬組隊前往貴所福山植物園參訪，茲檢附隊職員名冊乙份，請惠予許可入園並核發許可證。,人事室,人事室,(宋炳榮),宋炳榮,087/03/26,(87)中大人字第0901號                          ,87.0,204.0,1.0,2.0,26.0,5.0,紙本,1.0,0087/204/01/2/26,（已掃描）,         087/03/26,□同意銷毀,□不同意銷毀：建議調整為___年,原因：,
